Quarter,Year,Quarterly Net Income (Billions),Stock Price
4,2018,3.027,1501.97
3,2018,2.883,2003.00
2,2018,2.534,1699.80
1,2018,1.629,1447.34
4,2017,1.856,1169.47
3,2017,0.256,961.35
2,2017,0.197,968.00
1,2017,0.724,886.54
4,2016,0.749,749.87
3,2016,0.252,837.31
2,2016,0.857,715.62
1,2016,0.513,593.64
4,2015,0.482,675.89
3,2015,0.079,511.67
2,2015,0.092,434.09
1,2015,-0.057,372.10
4,2014,0.214,310.35
3,2014,-0.437,322.44
2,2014,-0.126,324.78
1,2014,0.108,336.36
4,2013,0.240,398.79
3,2013,-0.041,312.64
2,2013,-0.007,277.69
1,2013,0.082,266.49
4,2012,0.098,250.87
3,2012,-0.274,254.32
2,2012,0.007,228.35
1,2012,0.130,202.51
4,2011,0.176,173.10
3,2011,0.063,216.23
2,2011,0.191,204.49
1,2011,0.201,180.13
4,2010,0.415,180.00
3,2010,0.231,157.60
2,2010,0.207,109.26
1,2010,0.299,135.77
4,2009,0.384,134.52
3,2009,0.199,93.36
2,2009,0.142,83.66
1,2009,0.177,73.44
4,2008,0.226,51.28
3,2008,0.118,72.76
2,2008,0.158,73.33
1,2008,0.143,71.30
4,2007,0.207,92.64
3,2007,0.080,93.15
2,2007,0.078,68.14
1,2007,0.111,39.79
4,2006,0.098,39.46
3,2006,0.019,32.12
2,2006,0.022,26.89
1,2006,0.051,36.53
4,2005,0.199,49.21
3,2005,0.030,45.30
2,2005,0.052,35.02
1,2005,0.078,34.01
