Quarter,Year,Quarterly Net Income (Billions),Stock Price
4,2018,39.276,1116.47
3,2018,33.740,1076.77
2,2018,32.657,1217.26
1,2018,31.146,1017.33
4,2017,32.657,1169.94
3,2017,31.146,1016.64
2,2017,32.323,930.50
1,2017,27.772,905.96
4,2016,26.010,796.79
3,2016,22.451,784.54
2,2016,21.500,768.79
1,2016,20.257,693.01
4,2015,21.329,742.95
3,2015,18.675,710.81
2,2015,17.727,625.61
1,2015,17.258,537.34
4,2014,18.103,531.59
3,2014,16.523,556.02
2,2014,16.523,568.47
1,2014,15.420,523.78
4,2013,15.707,586.67
3,2013,13.754,435.12
2,2013,13.107,441.01
1,2013,12.951,409.62
4,2012,10.283,375.40
3,2012,13.304,337.95
2,2012,11.807,314.44
1,2012,10.645,300.47
4,2011,10.584,288.18
3,2011,9.720,255.86
2,2011,9.026,270.29
1,2011,8.575,298.24
4,2010,8.440,304.87
3,2010,7.286,240.86
2,2010,6.820,241.25
1,2010,6.775,261.15
4,2009,6.674,263.26
3,2009,5.956,266.33
2,2009,5.523,220.09
1,2009,5.509,196.71
4,2008,5.701,168.17
3,2008,5.541,178.52
2,2008,5.367,235.34
1,2008,5.186,285.29
4,2007,4.827,280.33
3,2007,4.231,351.22
2,2007,3.872,253.35
1,2007,3.664,234.17
4,2006,3.206,249.13
3,2006,2.690,236.66
2,2006,2.456,192.05
1,2006,2.254,207.62
4,2005,1.919,214.93
3,2005,1.578,184.87
2,2005,1.384,142.95
1,2005,1.257,89.67
